AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE,DiaDaSemana,Mes
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Masculino,26,Ceará,Brazil,-3.8922967000000006,-38.683542700000004,Qua,Jan
AIS 11,Caucaia,HOMICIDIO DOLOSO,Outros meios,01/01/2020,Masculino,40,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Qua,Jan
AIS 19,Mauriti,HOMICIDIO DOLOSO,Arma branca,01/01/2020,Masculino,23,Ceará,Brazil,-7.3870095000000005,-38.7737751,Qua,Jan
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma branca,01/01/2020,Masculino,53,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Qua,Jan
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Outros meios,01/01/2020,Masculino,19,Ceará,Brazil,-3.7304512,-38.5217989,Qua,Jan
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma branca,01/01/2020,Feminino,18,Ceará,Brazil,-3.7304512,-38.5217989,Qua,Jan
AIS 16,Santa Quitéria,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Masculino,17,Ceará,Brazil,-4.3336553,-40.1544913,Qua,Jan
AIS 14,Forquilha,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Masculino,32,Ceará,Brazil,-3.7994470000000002,-40.263405,Qua,Jan
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,01/01/2020,Feminino,27,Ceará,Brazil,-3.7304512,-38.5217989,Qua,Jan
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,29,Ceará,Brazil,-4.370257700000002,-38.808431299999995,Qui,Jan
AIS 18,Jaguaribara,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Masculino,42,Ceará,Brazil,-5.454494,-38.4679295,Qui,Jan
AIS 20,Banabuiú,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Feminino,23,Ceará,Brazil,-5.3046404,-38.919765999999996,Qui,Jan
AIS 9,Fortaleza,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,-,Ceará,Brazil,-3.7304512,-38.5217989,Qui,Jan
AIS 1,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Masculino,41,Ceará,Brazil,-3.7304512,-38.5217989,Qui,Jan
AIS 13,Pacajus,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,22,Ceará,Brazil,-4.171073000000002,-38.464988,Qui,Jan
AIS 20,Milhã,HOMICIDIO DOLOSO,Arma de fogo,02/01/2020,Masculino,28,Ceará,Brazil,-5.6834601,-39.1970885,Qui,Jan
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,02/01/2020,Masculino,23,Ceará,Brazil,-4.370257700000002,-38.808431299999995,Qui,Jan
AIS 15,Aracoiaba,HOMICIDIO DOLOSO,Outros meios,03/01/2020,Masculino,50,Ceará,Brazil,-4.370257700000002,-38.808431299999995,Sex,Jan
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,33,Ceará,Brazil,-3.7304512,-38.5217989,Sex,Jan
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,35,Ceará,Brazil,-3.8922967000000006,-38.683542700000004,Sex,Jan
AIS 14,Sobral,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,20,Ceará,Brazil,-3.6879135,-40.34563720000001,Sex,Jan
AIS 13,Aquiraz,ROUBO SEGUIDO DE MORTE (LATROCINIO),Arma de fogo,03/01/2020,Masculino,25,Ceará,Brazil,-3.9063117,-38.387504,Sex,Jan
AIS 19,Crato,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,15,Ceará,Brazil,-7.2369112000000015,-39.4149236,Sex,Jan
AIS 17,Acaraú,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,41,Ceará,Brazil,-2.8869514,-40.1194713,Sex,Jan
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,14,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sex,Jan
AIS 11,Caucaia,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,27,Ceará,Brazil,-3.7300562999999993,-38.65930820000001,Sex,Jan
AIS 12,Maranguape,HOMICIDIO DOLOSO,Arma de fogo,03/01/2020,Masculino,18,Ceará,Brazil,-3.8922967000000006,-38.683542700000004,Sex,Jan
AIS 15,Baturité,HOMICIDIO DOLOSO,Arma branca,04/01/2020,Masculino,50,Ceará,Brazil,-4.3290203,-38.8821055,Sáb,Jan
AIS 20,Quixadá,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,28,Ceará,Brazil,-4.970602099999999,-39.0158403,Sáb,Jan
AIS 2,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,24,Ceará,Brazil,-3.7304512,-38.5217989,Sáb,Jan
AIS 13,Aquiraz,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,26,Ceará,Brazil,-3.9063117,-38.387504,Sáb,Jan
AIS 6,Fortaleza,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,25,Ceará,Brazil,-3.7304512,-38.5217989,Sáb,Jan
AIS 17,Apuiarés,HOMICIDIO DOLOSO,Arma branca,04/01/2020,Masculino,-,Ceará,Brazil,-3.9460303,-39.43132979999999,Sáb,Jan
AIS 22,Quiterianópolis,HOMICIDIO DOLOSO,Arma de fogo,04/01/2020,Masculino,28,Ceará,Brazil,-5.8458117,-40.70218120000001,Sáb,Jan
